Point ID,arc_length,Points_0,Points_1,Points_2,Points_Magnitude,u_0,u_1,u_2,u_Magnitude,vtkValidPointMask
209,0.591141,0.418,0.418,0,0.591141,-5.19654e-05,2.14746e-05,0,5.62278e-05,1
210,0.59397,0.42,0.42,0,0.59397,-6.18085e-05,2.71967e-05,0,6.75274e-05,1
211,0.596798,0.422,0.422,0,0.596798,-5.43717e-05,2.66607e-05,0,6.05564e-05,1
212,0.599627,0.424,0.424,0,0.599627,-4.40826e-05,2.07428e-05,0,4.8719e-05,1
213,0.602455,0.426,0.426,0,0.602455,-4.95364e-05,2.52807e-05,0,5.56145e-05,1
214,0.605283,0.428,0.428,0,0.605283,-4.76509e-05,2.63151e-05,0,5.44343e-05,1
215,0.608112,0.43,0.43,0,0.608112,-4.9907e-05,2.76769e-05,0,5.70676e-05,1
216,0.61094,0.432,0.432,0,0.61094,-4.91215e-05,2.9947e-05,0,5.75304e-05,1
217,0.613769,0.434,0.434,0,0.613769,-4.23226e-05,2.55108e-05,0,4.94166e-05,1
218,0.616597,0.436,0.436,0,0.616597,-4.0366e-05,2.19737e-05,0,4.59593e-05,1
219,0.619426,0.438,0.438,0,0.619426,-4.13587e-05,2.62457e-05,0,4.89834e-05,1
220,0.622254,0.44,0.44,0,0.622254,-4.62648e-05,2.89627e-05,0,5.45827e-05,1
221,0.625082,0.442,0.442,0,0.625082,-4.6809e-05,2.54593e-05,0,5.32847e-05,1
222,0.627911,0.444,0.444,0,0.627911,-4.71152e-05,2.40983e-05,0,5.29204e-05,1
223,0.630739,0.446,0.446,0,0.630739,-4.72047e-05,2.74386e-05,0,5.46e-05,1
224,0.633568,0.448,0.448,0,0.633568,-4.20034e-05,2.7244e-05,0,5.00652e-05,1
225,0.636396,0.45,0.45,0,0.636396,-3.86935e-05,2.57594e-05,0,4.64837e-05,1
226,0.639225,0.452,0.452,0,0.639225,-4.37264e-05,2.87061e-05,0,5.23071e-05,1
